-0.662	-0.152
-1.83	-1.03
-0.357	-0.543
-0.272	-0.64
-0.307	-0.188
-0.713	-0.466
-0.515	-0.0237
-0.0706	-0.121
-0.51	-0.00141
-1.67	-0.0544
-0.133	-0.454
-1.44	-0.904
-0.658	-0.151
-0.0282	-0.505
-0.2	-0.244
-1.74	-0.2
-0.148	-0.329
-1.59	-1.12
-0.644	-0.134
-0.757	-0.998
-0.892	-0.227
-0.489	-0.528
-0.379	-1.07
-0.295	-0.183
-0.26	-0.0109
-1.38	-0.182
-0.872	-0.291
-0.233	-0.129
-1.02	-0.00153
-0.447	-0.859
-0.0643	-0.146
-0.579	-0.24
-0.023	-0.959
-0.16	-0.981
-0.284	-0.0729
-1.25	-0.612
-0.47	-0.864
-0.12	-0.146
-0.461	-0.666
-0.525	-0.111
-0.441	-0.245
-1.2	-1.37
-0.983	-0.768
-1.24	-0.428
-1.02	-0.299
-1.05	-0.329
-0.0948	-0.769
-0.531	-0.366
-1.63	-0.915
-1.04	-1.23
-0.311	-0.218
-0.0336	-0.142
-0.584	-0.219
-0.264	-0.272
-0.398	-0.82
-1.2	-0.378
-1.09	-0.693
-0.247	-0.351
-0.816	-0.515
-0.763	-0.424
-0.851	-0.712
-0.803	-0.655
-0.638	-0.526
-1.47	-0.13
-1.37	-0.545
-0.696	-1.19
-0.4	-0.0204
-0.313	-0.0687
-0.142	-0.239
-1.21	-0.999
-0.0849	-0.0239
-0.0497	-0.144
-0.041	-0.114
-0.248	-0.986
-0.474	-0.286
-0.89	-0.246
-1.4	-0.829
-0.842	-0.785
-0.891	-0.0342
-0.457	-1.11
-0.853	-0.125
-0.0122	-0.343
-1.67	-0.624
-0.127	-0.62
-1.55	-0.0537
-0.941	-0.443
-0.0899	-0.48
-1.28	-0.475
-0.464	-1.07
-0.632	-0.724
-0.0811	-0.64
-0.204	-1.09
-0.185	-0.398
-0.757	-0.259
-0.887	-0.566
-0.308	-0.0779
-0.51	-1.01
-0.804	-0.0508
-1.63	-1.27
-0.322	-0.689
-0.568	-0.447
-1.06	-0.334
-0.606	-0.822
-0.0553	-0.000273
-0.117	-0.331
-0.729	-0.118
-1.25	-0.233
-0.492	-0.00579
